"chw" "score"
"1" "89fda0284e008d2e0c980fb13f957a1e" "692.747594856677"
"2" "89fda0284e008d2e0c980fb13f9ad330" "156.049862378773"
"3" "89fda0284e008d2e0c980fb13f97e56a" "703.223035648788"
"4" "89fda0284e008d2e0c980fb13f97bdf2" "114.814957015827"
"5" "89fda0284e008d2e0c980fb13f9a3e49" "319.463019776276"
"6" "89fda0284e008d2e0c980fb13f95b755" "559.920113301174"
"7" "89fda0284e008d2e0c980fb13f9528e1" "400.979277561812"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "1271.98177621567"
"9" "89fda0284e008d2e0c980fb13f97cef7" "695.307048716983"
"10" "89fda0284e008d2e0c980fb13f950d25" "257.894057897892"
"11" "89fda0284e008d2e0c980fb13f97a0ca" "229.453084585919"
"12" "89fda0284e008d2e0c980fb13f9ad888" "296.121514258092"
"13" "70c6ba6f55ed21716fe725c21469c91d" "210.380913354683"
"14" "89fda0284e008d2e0c980fb13f979609" "654.471674259839"
"15" "89fda0284e008d2e0c980fb13f951435" "446.641660934157"
"16" "89fda0284e008d2e0c980fb13f9b5305" "175.670042608497"
"17" "70c6ba6f55ed21716fe725c21469e6ed" "303.273628827483"
"18" "89fda0284e008d2e0c980fb13f97722c" "413.604721704476"
"19" "89fda0284e008d2e0c980fb13f99a86d" "643.929103229159"
"20" "89fda0284e008d2e0c980fb13f99a592" "424.73579221654"
"21" "70c6ba6f55ed21716fe725c21469fe3b" "653.548236441078"
"22" "89fda0284e008d2e0c980fb13f9a94f7" "505.897495173018"
"23" "89fda0284e008d2e0c980fb13f98872f" "856.523286469372"
"24" "89fda0284e008d2e0c980fb13f99a47e" "248.73963552559"
"25" "89fda0284e008d2e0c980fb13f981bae" "198.584208609897"
"26" "89fda0284e008d2e0c980fb13f97eeaa" "927.043108779956"
"27" "89fda0284e008d2e0c980fb13f9b1273" "297.537486901244"
"28" "89fda0284e008d2e0c980fb13f9b0cfa" "308.943549992568"
"29" "89fda0284e008d2e0c980fb13f99f8e5" "663.615352653038"
"30" "89fda0284e008d2e0c980fb13f97850c" "949.736334740467"
"31" "89fda0284e008d2e0c980fb13f973bdc" "245.2009665392"
"32" "89fda0284e008d2e0c980fb13f96372c" "720.266105104517"
"33" "89fda0284e008d2e0c980fb13f98311d" "168.726416617423"
"34" "89fda0284e008d2e0c980fb13f964e6a" "590.509017221322"
"35" "89fda0284e008d2e0c980fb13f983809" "394.432951614142"
"36" "89fda0284e008d2e0c980fb13f9917a0" "602.56787213502"
"37" "89fda0284e008d2e0c980fb13f9900d3" "108.378098463734"
"38" "89fda0284e008d2e0c980fb13f995be3" "401.31358434998"
"39" "89fda0284e008d2e0c980fb13f960ab3" "452.598632050274"
"40" "89fda0284e008d2e0c980fb13f9b46eb" "577.389838850311"
"41" "89fda0284e008d2e0c980fb13f94fae5" "385.463625143092"
"42" "89fda0284e008d2e0c980fb13f994cf8" "700.049940317057"
"43" "89fda0284e008d2e0c980fb13f9623b3" "390.898631722284"
"44" "89fda0284e008d2e0c980fb13f978e69" "217.18600995651"
"45" "89fda0284e008d2e0c980fb13f96807a" "1020.15903146815"
"46" "89fda0284e008d2e0c980fb13f953df5" "700.229213608516"
"47" "89fda0284e008d2e0c980fb13f9b3f75" "657.98827230086"
"48" "89fda0284e008d2e0c980fb13f9509fd" "294.03835984447"
"49" "89fda0284e008d2e0c980fb13f9992a6" "517.67566032904"
"50" "89fda0284e008d2e0c980fb13f978578" "222.32204624374"
"51" "89fda0284e008d2e0c980fb13f9a51a9" "528.021900396872"
"52" "89fda0284e008d2e0c980fb13f9628e2" "996.403780910466"
"53" "89fda0284e008d2e0c980fb13f9899b3" "155.694109455014"
"54" "89fda0284e008d2e0c980fb13f960194" "315.22827267888"
"55" "fcd13ae716841026ee760704bb0d89a7" "90.6672694614986"
"56" "89fda0284e008d2e0c980fb13f956856" "214.639151288139"
"57" "89fda0284e008d2e0c980fb13f999c89" "328.31157297119"
"58" "89fda0284e008d2e0c980fb13f9afb45" "81.7419981578503"
"59" "89fda0284e008d2e0c980fb13f9ad060" "598.982988128791"
"60" "89fda0284e008d2e0c980fb13f96442a" "488.041328869556"
