"x"
"1" "form.bp2.not_yet_maternal_emergency"
"2" "form.bp1.counsel_ifa"
"3" "form.bp1.anc3.anc3_blood_pressure"
"4" "form.bp2.not_yet_institutional"
"5" "form.family_planning_group.counsel_options"
"6" "form.family_planning_group.counsel_stay"
"7" "form.bp2.clean_cloth"
"8" "form.bp2.not_yet_phone_number"
"9" "form.bp1.anc2.anc2_blood_pressure"
"10" "form.family_planning_group.help_decide"
"11" "form.play_family_planning_vid"
"12" "form.bp1.anc1.anc1_facility"
"13" "form.bp2.counsel_institutional"
"14" "form.bp2.SBA"
"15" "form.bp2.SBA_phone"
"16" "form.anc_latest_num"
"17" "form.bp1.anc3.anc3_abdominal_exam"
"18" "form.bp1.anc4.anc4_abdominal_exam"
"19" "form.bp2.not_yet_sba"
"20" "form.bp1.anc1.anc1_blood_pressure"
"21" "form.delivery_type"
"22" "form.bp1.anc1.anc1_abnormalities"
"23" "form.bp1.anc4.anc4_abnormalities"
"24" "form.bp2.care_of_home"
"25" "form.bp1.received_tt2"
"26" "form.bp1.received_tt1"
"27" "form.family_planning_group.counsel_disqualification"
"28" "form.bp2.not_yet_maternal_emergency_number"
"29" "form.bp2.play_birth_preparedness_vid"
"30" "form.bp1.anc4_details"
"31" "form.family_planning_group.counsel_nearest"
"32" "form.bp1.anc1_details"
"33" "form.bp1.anc2.anc2_facility"
"34" "form.bp1.eating_extra"
"35" "form.bp2.danger_number"
"36" "form.bp1.tt_booster"
"37" "form.bp1.anc2.anc2_abdominal_exam"
"38" "form.bp2.phone_vehicle"
"39" "form.bp2.not_yet_clean"
"40" "form.conceive"
"41" "form.bp2.saving_money"
"42" "form.bp2.materials"
"43" "form.bp1.anc1.anc1_abdominal_exam"
"44" "form.bp2.birth_preparedness_vid"
"45" "form.bp1.using_ifa"
"46" "form.bp2.counsel_preparation"
"47" "form.bp2.now_institutional"
"48" "form.bp2.not_yet_SBA_phone"
"49" "form.bp2.danger_institution"
"50" "form.bp1.anc4.anc4_blood_pressure"
"51" "form.bp2.vehicle"
"52" "form.bp2.skin_to_skin"
"53" "form.nextvisit"
"54" "form.bp_visit_num"
"55" "form.bp1.counsel_tt"
"56" "form.referral_prompt"
"57" "form.family_planning_group.risk_of_preg"
"58" "form.family_planning_group.institution_immediate"
"59" "form.bp2.cord_care_vid"
"60" "form.bp1.anc4.anc4_facility"
"61" "form.bp2.cord_care"
"62" "form.success"
"63" "form.bp1.anc3_details"
"64" "form.bp2.wrapping"
"65" "form.family_planning_vid"
"66" "form.family_planning_group.stop_children"
"67" "form.postponing"
"68" "form.family_planning_group.counsel_methods"
"69" "form.bp1.anc2_details"
"70" "form.family_planning_group.counsel_accessible"
"71" "form.bp2.accompany"
"72" "form.bp2.play_cord_care_vid"
"73" "form.family_planning_group.postpone_conception"
"74" "form.bp2.not_yet_materials"
"75" "form.bp2.has_danger_signs"
"76" "form.family_planning_group.counsel_benefits"
"77" "form.bp1.resting"
"78" "form.nextvisittype"
"79" "form.bp1.anc3.anc3_abnormalities"
"80" "form.family_planning_group.counsel_institution"
"81" "form.family_planning_group.spacing_methods"
"82" "form.bp1.anc2.anc2_abnormalities"
"83" "form.bp2.not_yet_vehicle"
"84" "form.family_planning_group.avail_immediate"
"85" "form.family_planning_group.immediate_appropriate"
"86" "form.bp2.maternal_danger_signs"
"87" "form.bp2.immediate_breastfeeding"
"88" "form.BP_complete_referral_needed"
"89" "form.bp1.reason_no_ifa"
"90" "form.bp1.anc3.anc3_facility"
"91" "form.bp2.inform_danger_signs"
