"chw" "score"
"89fda0284e008d2e0c980fb13f955485" 230.221351068108
"89fda0284e008d2e0c980fb13f9b323a" 208.904289286494
"89fda0284e008d2e0c980fb13f97850c" 205.124264149511
"89fda0284e008d2e0c980fb13f994cf8" 90.6276728539584
"89fda0284e008d2e0c980fb13f966281" 85.7222079504134
"89fda0284e008d2e0c980fb13f951435" 82.4446503564411
"89fda0284e008d2e0c980fb13f9978cb" 77.9014909964809
"89fda0284e008d2e0c980fb13f96807a" 72.3912168287274
"89fda0284e008d2e0c980fb13f99a47e" 61.9756844811896
"89fda0284e008d2e0c980fb13f9b3322" 61.8935803792878
"89fda0284e008d2e0c980fb13f999c89" 61.4097902117144
"89fda0284e008d2e0c980fb13f958239" 60.6751582916829
"89fda0284e008d2e0c980fb13f99a86d" 53.693009902892
"89fda0284e008d2e0c980fb13f98d506" 51.6177382315237
"89fda0284e008d2e0c980fb13f960ab3" 51.4210522659688
"89fda0284e008d2e0c980fb13f95300e" 49.9615360375237
"89fda0284e008d2e0c980fb13f9b46eb" 48.4442691513543
"89fda0284e008d2e0c980fb13f9992a6" 45.873315165586
"89fda0284e008d2e0c980fb13f98872f" 44.0552595993628
"89fda0284e008d2e0c980fb13f970c18" 42.0996905761692
"70c6ba6f55ed21716fe725c214694627" 39.5200622911225
"89fda0284e008d2e0c980fb13f96cf64" 37.8902348459831
"89fda0284e008d2e0c980fb13f966efc" 35.4550123987672
"89fda0284e008d2e0c980fb13f982710" 31.6682702204481
"89fda0284e008d2e0c980fb13f9628e2" 31.0124545848048
"89fda0284e008d2e0c980fb13f996b98" 30.5755651268989
"89fda0284e008d2e0c980fb13f95205a" 30.5440036787508
"89fda0284e008d2e0c980fb13f985425" 30.3297539381907
"89fda0284e008d2e0c980fb13f9b5439" 30.1914819157614
"89fda0284e008d2e0c980fb13f9a7b0c" 29.8333408069168
"89fda0284e008d2e0c980fb13f9528e1" 28.7091958721607
"89fda0284e008d2e0c980fb13f969126" 28.7091958721607
"89fda0284e008d2e0c980fb13f9ad888" 28.652528485967
"70c6ba6f55ed21716fe725c21469fe3b" 28.1714950056202
"89fda0284e008d2e0c980fb13f98ed57" 27.972006430926
"89fda0284e008d2e0c980fb13f99a3ad" 25.8522345916006
"89fda0284e008d2e0c980fb13f96442a" 25.2377790801218
"89fda0284e008d2e0c980fb13f99a592" 21.840701031596
"89fda0284e008d2e0c980fb13f9917a0" 21.1275008867019
"89fda0284e008d2e0c980fb13f995be3" 20.5860164451304
"89fda0284e008d2e0c980fb13f950688" 20.3446159640197
"89fda0284e008d2e0c980fb13f957a1e" 19.9139415180232
"89fda0284e008d2e0c980fb13f96372c" 18.9229974873477
"89fda0284e008d2e0c980fb13f98317d" 18.8104138275036
"89fda0284e008d2e0c980fb13f97eeaa" 17.8277341340667
"89fda0284e008d2e0c980fb13f9866e8" 17.1396970396666
"89fda0284e008d2e0c980fb13f99e74b" 16.4959745689186
"89fda0284e008d2e0c980fb13f95fe45" 16.4854979097886
"89fda0284e008d2e0c980fb13f9b1c77" 15.4119663131119
"89fda0284e008d2e0c980fb13f983809" 15.3080111627551
"89fda0284e008d2e0c980fb13f95b755" 14.7463369500581
"89fda0284e008d2e0c980fb13f98736b" 14.3525136483325
"89fda0284e008d2e0c980fb13f979609" 14.3194178974704
"89fda0284e008d2e0c980fb13f98a6d5" 14.1279428693472
"89fda0284e008d2e0c980fb13f95e9b4" 14.0622115841926
"89fda0284e008d2e0c980fb13f97d834" 13.5278349387906
"89fda0284e008d2e0c980fb13f989136" 13.2935191291192
"89fda0284e008d2e0c980fb13f9a5551" 12.8249728814229
"89fda0284e008d2e0c980fb13f97b53a" 12.5261507072746
"89fda0284e008d2e0c980fb13f94f406" 12.119678242261
"89fda0284e008d2e0c980fb13f98abea" 12.0463713302791
"89fda0284e008d2e0c980fb13f961f23" 11.9205394797919
"89fda0284e008d2e0c980fb13f9b3f75" 11.1175268661438
"89fda0284e008d2e0c980fb13f952278" 10.5830900912787
"89fda0284e008d2e0c980fb13f96554b" 10.4803422333063
"89fda0284e008d2e0c980fb13f97a0ca" 10.33903144387
