"week" "chw" "score" "rank"
"1" 1 "89fda0284e008d2e0c980fb13f957a1e" 98.3141539756785 1
"2" 1 "89fda0284e008d2e0c980fb13f94e5b7" 75.1341009184555 2
"3" 1 "89fda0284e008d2e0c980fb13f97e56a" 59.0055322940521 3
"4" 1 "89fda0284e008d2e0c980fb13f97cef7" 57.0603005159733 4
"5" 1 "89fda0284e008d2e0c980fb13f9a3e49" 51.4852183938278 5
"6" 1 "89fda0284e008d2e0c980fb13f951435" 44.235613859946 6
"7" 1 "89fda0284e008d2e0c980fb13f9528e1" 34.4827399244945 7
"8" 1 "89fda0284e008d2e0c980fb13f9ad888" 30.4486335339966 8
"9" 1 "89fda0284e008d2e0c980fb13f97bdf2" 27.8497622955517 9
"10" 1 "89fda0284e008d2e0c980fb13f950d25" 27.5034468167769 10
"11" 1 "89fda0284e008d2e0c980fb13f9b5305" 27.2318285475463 11
"12" 1 "89fda0284e008d2e0c980fb13f979609" 26.4974397725005 12
"13" 1 "89fda0284e008d2e0c980fb13f95b755" 23.0669973357204 13
"14" 1 "89fda0284e008d2e0c980fb13f9ad330" 17.8968198789369 14
"15" 1 "89fda0284e008d2e0c980fb13f97722c" 13.2629565899747 15
"16" 1 "89fda0284e008d2e0c980fb13f97a0ca" 12.1656617083593 16
"17" 1 "70c6ba6f55ed21716fe725c21469e6ed" 11.5549305311592 17
"18" 1 "70c6ba6f55ed21716fe725c21469c91d" 10.4804399405667 18
"19" 1 "89fda0284e008d2e0c980fb13f99a86d" 10.4804399405667 19
"20" 2 "89fda0284e008d2e0c980fb13f99a592" 190.514970344058 1
"21" 2 "70c6ba6f55ed21716fe725c21469fe3b" 115.150856420777 2
"22" 2 "89fda0284e008d2e0c980fb13f9a94f7" 114.303460353383 3
"23" 2 "89fda0284e008d2e0c980fb13f99a47e" 51.9089802279308 4
"24" 2 "89fda0284e008d2e0c980fb13f98872f" 50.4237927525751 5
"25" 2 "89fda0284e008d2e0c980fb13f9a3e49" 41.0213789535126 6
"26" 2 "89fda0284e008d2e0c980fb13f95b755" 31.8884855220014 7
"27" 2 "89fda0284e008d2e0c980fb13f97eeaa" 21.4347392543773 8
"28" 2 "89fda0284e008d2e0c980fb13f981bae" 16.3594063643498 9
"29" 2 "89fda0284e008d2e0c980fb13f9b1273" 14.4401579768403 10
"30" 2 "70c6ba6f55ed21716fe725c21469c91d" 14.0298349977948 11
"31" 2 "89fda0284e008d2e0c980fb13f94e5b7" 13.6768396814954 12
"32" 2 "89fda0284e008d2e0c980fb13f97cef7" 13.3593631356457 13
"33" 2 "89fda0284e008d2e0c980fb13f9b0cfa" 9.62784102647944 14
"34" 3 "89fda0284e008d2e0c980fb13f983809" 148.253461915696 1
"35" 3 "89fda0284e008d2e0c980fb13f9900d3" 47.4093297745533 2
"36" 3 "89fda0284e008d2e0c980fb13f96372c" 41.700065990602 3
"37" 3 "89fda0284e008d2e0c980fb13f978e69" 40.5918099128145 4
"38" 3 "89fda0284e008d2e0c980fb13f9b0cfa" 32.460003639184 5
"39" 3 "89fda0284e008d2e0c980fb13f9a94f7" 30.248817039283 6
"40" 3 "89fda0284e008d2e0c980fb13f9528e1" 30.1924211911233 7
"41" 3 "89fda0284e008d2e0c980fb13f98311d" 24.7360099563119 8
"42" 3 "89fda0284e008d2e0c980fb13f9b46eb" 24.4904939341987 9
"43" 3 "89fda0284e008d2e0c980fb13f964e6a" 23.765715900535 10
"44" 3 "89fda0284e008d2e0c980fb13f97e56a" 21.0517598945279 11
"45" 3 "89fda0284e008d2e0c980fb13f94e5b7" 19.4768334944039 12
"46" 3 "89fda0284e008d2e0c980fb13f97850c" 18.2888652272354 13
"47" 3 "89fda0284e008d2e0c980fb13f97722c" 16.5525691735258 14
"48" 3 "89fda0284e008d2e0c980fb13f973bdc" 16.3807196797252 15
"49" 3 "89fda0284e008d2e0c980fb13f99f8e5" 16.324119040079 16
"50" 3 "89fda0284e008d2e0c980fb13f995be3" 15.3153088280018 17
"51" 3 "89fda0284e008d2e0c980fb13f9917a0" 12.634869514896 18
"52" 3 "89fda0284e008d2e0c980fb13f94fae5" 11.0474278546169 19
"53" 3 "89fda0284e008d2e0c980fb13f979609" 10.190287326208 20
"54" 3 "89fda0284e008d2e0c980fb13f960ab3" 8.14475537212944 21
"55" 3 "89fda0284e008d2e0c980fb13f994cf8" 8.14475537212944 22
"56" 3 "89fda0284e008d2e0c980fb13f95b755" 8.01494263496207 23
"57" 3 "89fda0284e008d2e0c980fb13f9623b3" 8.01494263496207 24
"58" 4 "89fda0284e008d2e0c980fb13f94e5b7" 710.344081267368 1
"59" 4 "89fda0284e008d2e0c980fb13f97eeaa" 149.318078144652 2
"60" 4 "89fda0284e008d2e0c980fb13f957a1e" 98.94640620684 3
"61" 4 "89fda0284e008d2e0c980fb13f953df5" 98.4678812479541 4
"62" 4 "89fda0284e008d2e0c980fb13f9a51a9" 81.1099077793635 5
"63" 4 "fcd13ae716841026ee760704bb0d89a7" 62.810012980212 6
"64" 4 "89fda0284e008d2e0c980fb13f978578" 60.4319993643452 7
"65" 4 "89fda0284e008d2e0c980fb13f9528e1" 59.9290545388033 8
"66" 4 "89fda0284e008d2e0c980fb13f95b755" 52.4219831607418 9
"67" 4 "89fda0284e008d2e0c980fb13f97850c" 52.1264085924263 10
"68" 4 "89fda0284e008d2e0c980fb13f96807a" 50.0155868612191 11
"69" 4 "89fda0284e008d2e0c980fb13f9b3f75" 48.9512792662477 12
"70" 4 "89fda0284e008d2e0c980fb13f973bdc" 48.7134314447133 13
"71" 4 "89fda0284e008d2e0c980fb13f979609" 47.21421800708 14
"72" 4 "fcd13ae716841026ee760704bb0d99ee" 46.2622891639468 15
"73" 4 "89fda0284e008d2e0c980fb13f956856" 43.4229264429735 16
"74" 4 "89fda0284e008d2e0c980fb13f960ab3" 43.3306478640897 17
"75" 4 "89fda0284e008d2e0c980fb13f95477d" 43.135767183271 18
"76" 4 "89fda0284e008d2e0c980fb13f99886e" 42.2582875711306 19
"77" 4 "89fda0284e008d2e0c980fb13f9899b3" 40.6214430635655 20
"78" 4 "89fda0284e008d2e0c980fb13f9afb45" 39.7547619473401 21
"79" 4 "89fda0284e008d2e0c980fb13f98fe2e" 39.4580729820569 22
"80" 4 "89fda0284e008d2e0c980fb13f99b52b" 38.6524769515769 23
"81" 4 "89fda0284e008d2e0c980fb13f966efc" 38.0905778129239 24
"82" 4 "89fda0284e008d2e0c980fb13f978216" 36.5810757905792 25
"83" 4 "89fda0284e008d2e0c980fb13f96372c" 36.3385064528804 26
"84" 4 "89fda0284e008d2e0c980fb13f9992a6" 35.2852668309923 27
"85" 4 "89fda0284e008d2e0c980fb13f95fe45" 33.7139330656137 28
"86" 4 "89fda0284e008d2e0c980fb13f983809" 33.4740322061472 29
"87" 4 "89fda0284e008d2e0c980fb13f97cef7" 33.1993456010294 30
"88" 4 "89fda0284e008d2e0c980fb13f98872f" 31.6778313911905 31
"89" 4 "89fda0284e008d2e0c980fb13f999c89" 30.8111611893293 32
"90" 4 "89fda0284e008d2e0c980fb13f970c18" 30.6047814591474 33
"91" 4 "89fda0284e008d2e0c980fb13f97dff4" 28.4672656493888 34
"92" 4 "89fda0284e008d2e0c980fb13f951435" 28.4167827067 35
"93" 4 "89fda0284e008d2e0c980fb13f96442a" 27.6030426131751 36
"94" 4 "89fda0284e008d2e0c980fb13f964b7e" 27.462225950811 37
"95" 4 "89fda0284e008d2e0c980fb13f950d25" 26.3493380697367 38
"96" 4 "89fda0284e008d2e0c980fb13f99a3ad" 26.0328817401596 39
"97" 4 "89fda0284e008d2e0c980fb13f99a86d" 24.5454303781185 40
"98" 4 "89fda0284e008d2e0c980fb13f964e6a" 24.3993864156714 41
"99" 4 "89fda0284e008d2e0c980fb13f960194" 22.8580257510414 42
"100" 4 "89fda0284e008d2e0c980fb13f9917a0" 22.5273721430013 43
"101" 4 "89fda0284e008d2e0c980fb13f972945" 21.6352175683211 44
"102" 4 "89fda0284e008d2e0c980fb13f97b53a" 21.112536714456 45
"103" 4 "89fda0284e008d2e0c980fb13f968eb0" 20.4492066667735 46
"104" 4 "89fda0284e008d2e0c980fb13f9509fd" 19.2885594356949 47
"105" 4 "89fda0284e008d2e0c980fb13f99f8e5" 19.0369134034531 48
"106" 4 "89fda0284e008d2e0c980fb13f9628e2" 18.5744751331064 49
"107" 4 "89fda0284e008d2e0c980fb13f96e561" 18.3751368757249 50
"108" 4 "89fda0284e008d2e0c980fb13f9978cb" 16.6290482968312 51
"109" 4 "89fda0284e008d2e0c980fb13f95f7a6" 16.4483045566854 52
"110" 4 "89fda0284e008d2e0c980fb13f970282" 16.2729739840328 53
"111" 4 "89fda0284e008d2e0c980fb13f975e5c" 15.5981431750131 54
"112" 4 "70c6ba6f55ed21716fe725c21469fe3b" 15.0778175367466 55
"113" 4 "89fda0284e008d2e0c980fb13f966e31" 14.9644858126129 56
"114" 4 "fcd13ae716841026ee760704bb0da4a8" 14.4871037387806 57
"115" 4 "89fda0284e008d2e0c980fb13f94fae5" 14.3229941073571 58
"116" 4 "89fda0284e008d2e0c980fb13f985a55" 14.3229941073571 59
"117" 4 "89fda0284e008d2e0c980fb13f950688" 13.7894981022857 60
"118" 4 "89fda0284e008d2e0c980fb13f99d8c6" 13.7311097250799 61
"119" 4 "89fda0284e008d2e0c980fb13f9ad060" 13.3721057951534 62
"120" 5 "89fda0284e008d2e0c980fb13f9b3f75" 141.355054169054 1
"121" 5 "70c6ba6f55ed21716fe725c2146903eb" 103.238503303672 2
"122" 5 "89fda0284e008d2e0c980fb13f97722c" 98.3871746777511 3
"123" 5 "89fda0284e008d2e0c980fb13f97dff4" 97.43104325171 4
"124" 5 "89fda0284e008d2e0c980fb13f98311d" 74.1123761297258 5
"125" 5 "89fda0284e008d2e0c980fb13f955485" 71.3245223872912 6
"126" 5 "89fda0284e008d2e0c980fb13f9a6042" 68.3202924527593 7
"127" 5 "89fda0284e008d2e0c980fb13f968eb0" 62.107930886814 8
"128" 5 "89fda0284e008d2e0c980fb13f9628e2" 59.5068330486331 9
"129" 5 "89fda0284e008d2e0c980fb13f98872f" 59.2044216258173 10
"130" 5 "89fda0284e008d2e0c980fb13f96554b" 56.7038773244284 11
