"months" "chw" "score" "rank"
"1" 1 "89fda0284e008d2e0c980fb13f94e5b7" 830.097151111623 1
"2" 1 "89fda0284e008d2e0c980fb13f99a592" 238.198935638148 2
"3" 1 "89fda0284e008d2e0c980fb13f983809" 177.342315608628 3
"4" 1 "89fda0284e008d2e0c980fb13f9b3f75" 160.711465814384 4
"5" 1 "89fda0284e008d2e0c980fb13f957a1e" 150.957374500153 5
"6" 1 "70c6ba6f55ed21716fe725c21469fe3b" 142.108748013136 6
"7" 1 "89fda0284e008d2e0c980fb13f953df5" 122.544441001675 7
"8" 1 "89fda0284e008d2e0c980fb13f98872f" 117.468542160131 8
"9" 1 "89fda0284e008d2e0c980fb13f9a94f7" 112.130307194253 9
"10" 1 "89fda0284e008d2e0c980fb13f955485" 103.851784018977 10
"11" 1 "89fda0284e008d2e0c980fb13f97eeaa" 100.08964313031 11
"12" 1 "89fda0284e008d2e0c980fb13f95b755" 97.8676796688812 12
"13" 1 "89fda0284e008d2e0c980fb13f97dff4" 88.5715873325377 13
"14" 1 "89fda0284e008d2e0c980fb13f9528e1" 87.1518126008393 14
"15" 1 "89fda0284e008d2e0c980fb13f9a51a9" 83.6366630364843 15
"16" 1 "89fda0284e008d2e0c980fb13f9900d3" 81.7779510924059 16
"17" 1 "89fda0284e008d2e0c980fb13f96372c" 73.4411306345529 17
"18" 1 "89fda0284e008d2e0c980fb13f97722c" 72.8709903893501 18
"19" 1 "89fda0284e008d2e0c980fb13f964e6a" 72.5401657374115 19
"20" 1 "89fda0284e008d2e0c980fb13f979609" 69.5172741457494 20
"21" 1 "fcd13ae716841026ee760704bb0d89a7" 69.5045621674632 21
"22" 1 "89fda0284e008d2e0c980fb13f97850c" 68.8903077518031 22
"23" 1 "89fda0284e008d2e0c980fb13f9a3e49" 68.0862773139065 23
"24" 1 "89fda0284e008d2e0c980fb13f9899b3" 68.0647193188905 24
"25" 1 "89fda0284e008d2e0c980fb13f96807a" 67.7925331118483 25
"26" 1 "89fda0284e008d2e0c980fb13f97e56a" 67.7793905052438 26
"27" 1 "89fda0284e008d2e0c980fb13f9a7b0c" 64.2646437196676 27
"28" 1 "89fda0284e008d2e0c980fb13f97cef7" 62.3945108862044 28
"29" 1 "89fda0284e008d2e0c980fb13f978578" 58.5809796316088 29
"30" 1 "fcd13ae716841026ee760704bb0d99ee" 57.9776016849969 30
"31" 1 "89fda0284e008d2e0c980fb13f96554b" 55.8634893979604 31
"32" 1 "89fda0284e008d2e0c980fb13f99b52b" 51.4045079361319 32
"33" 1 "70c6ba6f55ed21716fe725c2146966b6" 50.2233649607315 33
"34" 1 "89fda0284e008d2e0c980fb13f95fe45" 50.0392509948891 34
"35" 1 "89fda0284e008d2e0c980fb13f95477d" 48.343212377144 35
"36" 1 "89fda0284e008d2e0c980fb13f999899" 47.5004005051165 36
"37" 1 "89fda0284e008d2e0c980fb13f978e69" 45.9371264846164 37
"38" 1 "89fda0284e008d2e0c980fb13f966281" 44.6605581860159 38
"39" 1 "89fda0284e008d2e0c980fb13f99886e" 44.3598398945981 39
"40" 1 "89fda0284e008d2e0c980fb13f980ee3" 44.2629081311359 40
"41" 1 "89fda0284e008d2e0c980fb13f98311d" 43.82794788515 41
"42" 1 "89fda0284e008d2e0c980fb13f973bdc" 43.8224821954587 42
"43" 1 "89fda0284e008d2e0c980fb13f951435" 43.5614256219564 43
"44" 1 "89fda0284e008d2e0c980fb13f9a6042" 42.6310586893609 44
"45" 1 "89fda0284e008d2e0c980fb13f99a47e" 41.6995900210117 45
"46" 1 "89fda0284e008d2e0c980fb13f98fe2e" 41.6487567088431 46
"47" 1 "89fda0284e008d2e0c980fb13f969126" 40.0900267398506 47
"48" 1 "70c6ba6f55ed21716fe725c21469e6ed" 39.9415203176156 48
"49" 1 "89fda0284e008d2e0c980fb13f956856" 39.3969025577805 49
"50" 1 "89fda0284e008d2e0c980fb13f97bdf2" 39.2271296846592 50
"51" 1 "89fda0284e008d2e0c980fb13f9992a6" 39.0816619169724 51
"52" 1 "89fda0284e008d2e0c980fb13f9ac931" 37.9705713300386 52
"53" 1 "89fda0284e008d2e0c980fb13f9ad888" 37.8186214176791 53
"54" 1 "89fda0284e008d2e0c980fb13f99f651" 36.6185589659741 54
"55" 1 "89fda0284e008d2e0c980fb13f9b5305" 36.2714732950088 55
"56" 1 "89fda0284e008d2e0c980fb13f9917a0" 35.9387568059528 56
"57" 1 "89fda0284e008d2e0c980fb13f9afb45" 35.8809222006234 57
"58" 1 "89fda0284e008d2e0c980fb13f97b53a" 35.6384868248026 58
"59" 1 "89fda0284e008d2e0c980fb13f9735c8" 35.4148026729158 59
"60" 1 "89fda0284e008d2e0c980fb13f978216" 34.6920631322689 60
"61" 1 "89fda0284e008d2e0c980fb13f9b0cfa" 34.4676075018645 61
"62" 1 "89fda0284e008d2e0c980fb13f966efc" 34.2892940489045 62
"63" 1 "89fda0284e008d2e0c980fb13f956dab" 34.0144201463276 63
"64" 1 "89fda0284e008d2e0c980fb13f9ad383" 32.2634248510933 64
"65" 1 "89fda0284e008d2e0c980fb13f9b5439" 32.0740470850296 65
"66" 1 "89fda0284e008d2e0c980fb13f966e31" 31.7369809182608 66
"67" 1 "89fda0284e008d2e0c980fb13f950d25" 30.908889826909 67
"68" 1 "89fda0284e008d2e0c980fb13f9b46eb" 29.6222897488397 68
"69" 1 "89fda0284e008d2e0c980fb13f960ab3" 29.5819554020582 69
"70" 1 "89fda0284e008d2e0c980fb13f981bae" 29.5728290200735 70
"71" 1 "89fda0284e008d2e0c980fb13f970c18" 29.4988116325224 71
"72" 1 "89fda0284e008d2e0c980fb13f9ad060" 29.4532749723135 72
"73" 1 "89fda0284e008d2e0c980fb13f99a86d" 29.2628748420834 73
"74" 1 "89fda0284e008d2e0c980fb13f968eb0" 28.6653952255663 74
"75" 1 "89fda0284e008d2e0c980fb13f992e2c" 28.0174906317558 75
"76" 1 "89fda0284e008d2e0c980fb13f999c89" 28.008113730675 76
"77" 1 "89fda0284e008d2e0c980fb13f9ad330" 27.7725002867469 77
"78" 1 "89fda0284e008d2e0c980fb13f95dbc7" 27.7430351638263 78
"79" 1 "89fda0284e008d2e0c980fb13f99f8e5" 27.4782381189701 79
"80" 1 "89fda0284e008d2e0c980fb13f995be3" 27.1547336436028 80
"81" 1 "89fda0284e008d2e0c980fb13f96442a" 27.149909994535 81
"82" 1 "89fda0284e008d2e0c980fb13f97a0ca" 26.7884516401172 82
